citation,pmid
"Wullschleger S, Loewith R, Hall MN. TOR signaling in growth and metabolism. Cell. 2006 Feb 10;124(3):471–84.",16469695
"Inoki K, Guan K-L. Complexity of the TOR signaling network. Trends Cell Biol. 2006 Apr;16(4):206–12.",16516475
"Corradetti MN, Guan K-L. Upstream of the mammalian target of rapamycin: do all roads pass through mTOR? Oncogene. 2006 Oct 16;25(48):6347–60.",17041621
"Yang Q, Guan K-L. Expanding mTOR signaling. Cell Res. 2007 Aug;17(8):666–81.",17680028
"Sancak Y, Sabatini DM. Rag proteins regulate amino-acid-induced mTORC1 signalling. Biochem Soc Trans. 2009 Feb;37(Pt 1):289–90.",19143648
